2,18	43,5
2,5	42,7
3	41,2
3,5	40
4	38,8
4,5	37,5
5	36,4
5,5	35,4
6	34,4
6,5	33,6
7	32,6
7,5	31,8
8	31,2
8,5	30,5
9	29,8
9,5	29,4
10	28,8
10,5	28,2
11	27,8
11,5	27,4
12	27
12,5	26,6
13	26,2
13,5	25,8
14	25,5
14,5	25,2
15	25
15,5	24,8
16	24,5
16,5	24,2
17	24
17,5	23,8
18	23,6
18,5	23,4
19	23,3
19,5	23,2
20	23
20,5	22,8
21	22,6
21,5	22,5
22	22,4
22,5	22,3
23	22,2
23,5	22
24	22
24,5	21,8
25	21,7
25,5	21,6
26	21,6
26,5	21,5
27	21,4
27,5	21,3
28	21,2
28,5	21,2
29	21,1
29,5	21
30	21
30,5	20,9
31	20,9
31,5	20,8
32	20,8
32,5	20,7
33	20,7
33,5	20,6
34	20,6
34,5	20,6
35	20,5
35,5	20,5
36	20,4
36,5	20,4
37	20,4
37,5	20,3
38	20,3
38,5	20,3
39	20,2
39,5	20,2
40	20,2
40,5	20,1
41	20,1
41,5	20,1
42	20,1
42,5	20
43	20
43,5	20
44	20
44,5	20
45	20
45,5	19,9
46	19,9
46,5	19,9
47	19,9
47,5	19,9
48	19,9
48,5	19,8
49	19,8
49,5	19,8
50	19,8
50,5	19,8
51	19,8
51,5	19,8
52	19,8
52,5	19,8
53	19,8
53,5	19,8
54	19,8
54,5	19,8
