0	28,2
0,5	29,2
1	30,6
1,5	31,6
2	32,8
2,5	34
3	35,2
3,5	36,4
4	37,6
4,5	38,4
5	39,2
5,5	40
6	40,6
6,5	41,2
7	41,8
7,5	42,4
8	43
8,5	43,6
9	44
9,5	44,6
10	45
10,5	45,6
11	46
11,5	46,4
12	46,6
12,5	47
13	47,4
13,5	47,8
14	48
14,5	48,4
15	48,6
15,5	48,8
16	49,2
16,5	49,4
17	49,6
17,5	49,8
18	50
18,5	50,2
19	50,4
19,5	50,6
20	50,6
20,5	50,8
21	51
21,5	51,2
22	51,2
22,5	51,4
23	51,6
23,5	51,6
24	51,8
24,5	51,8
25	52
25,5	52
26	52
26,5	52,2
27	52,2
27,5	52,4
28	52,4
28,5	52,6
29	52,6
29,5	52,6
30	52,8
30,5	52,8
31	52,8
31,5	53
32	53
32,5	53
33	53
33,5	53,2
34	53,2
34,5	53,2
35	53,2
35,5	53,4
36	53,4
36,5	53,4
37	53,4
37,5	53,4
38	53,4
38,5	53,4
39	53,6
39,5	53,6
40	53,6
40,5	53,6
41	53,6
41,5	53,6
42	53,6
42,5	53,8
43	53,8
43,5	53,8
44	53,8
44,5	53,8
45	53,8
45,5	53,8
46	53,8
46,5	53,8
47	53,8
47,5	53,8
48	54
48,5	54
49	54
49,5	54
50	54
50,5	54
51	54
51,5	54
52	54
52,5	54
53	54
53,5	54
54	54
54,5	54
55	54
55,5	54
56	54
56,5	54
57	54,2
57,5	54,2
58	54,2
58,5	54,2
59	54,2
59,5	54,2
60	54,2
60,5	54,2
61	54,2
61,5	54,2
62	54,2
62,5	54,2
63	54,2
63,5	54,2
64	54,2
64,5	54,2
65	54,2
65,5	54,4
66	54,4
