21,2	8,48E-4
21,2	8,48E-4
21,2	0,03
21,2	0,09
21,2	0,17
21,2	0,26
21,2	0,33
21,2	0,40
21,2	0,47
21,2	0,53
21,3	0,60
21,3	0,65
21,3	0,71
21,4	0,77
21,4	0,81
21,4	0,86
21,5	0,90
21,5	0,95
21,5	1,01
21,6	1,06
21,6	1,10
21,6	1,15
21,7	1,20
21,7	1,26
21,8	1,31
21,8	1,36
21,9	1,42
21,9	1,48
21,9	1,54
22,0	1,59
22,1	1,66
22,1	1,71
22,2	1,78
22,3	1,84
22,3	1,90
22,4	1,96
22,4	2,01
22,5	2,09
22,5	2,14
22,6	2,21
22,7	2,27
22,7	2,34
22,8	2,41
22,9	2,47
22,9	2,53
23,0	2,59
23,1	2,66
23,1	2,72
23,2	2,79
23,3	2,86
23,4	2,92
23,4	2,99
23,5	3,06
23,6	3,11
23,7	3,18
23,8	3,25
23,8	3,31
23,9	3,39
24,0	3,44
24,1	3,51
24,2	3,58
24,3	3,65
24,3	3,72
24,5	3,79
24,5	3,85
24,6	3,91
24,7	3,99
24,7	4,06
24,9	4,12
25,0	4,20
25,1	4,26
25,1	4,34
25,2	4,41
25,3	4,47
25,5	4,54
25,5	4,61
25,7	4,68
25,7	4,75
25,8	4,81
25,9	4,89
26,0	4,95
26,1	5,02
26,2	5,10
26,3	5,16
26,4	5,23
26,5	5,31
26,7	5,38
26,8	5,45
26,9	5,52
26,9	5,59
27,0	5,65
27,1	5,72
27,2	5,79
27,3	5,86
27,5	5,93
27,6	6,00
27,7	6,07
27,8	6,14
27,9	6,21
28,0	6,29
28,1	6,36
28,2	6,43
28,3	6,49
28,4	6,57
28,5	6,64
28,6	6,71
28,7	6,77
28,9	6,85
29,0	6,93
29,1	7,00
29,2	7,07
29,3	7,14
29,4	7,21
29,5	7,29
29,6	7,36
29,8	7,43
29,9	7,50
30,0	7,57
30,1	7,64
30,2	7,71
30,4	7,79
30,5	7,86
30,6	7,93
30,7	8,00
30,8	8,08
31,0	8,15
31,1	8,22
31,2	8,29
31,3	8,36
31,4	8,43
31,5	8,51
31,7	8,58
31,7	8,66
31,9	8,73
32,0	8,80
32,1	8,86
32,3	8,94
32,4	9,01
32,5	9,08
32,6	9,14
32,7	9,21
32,9	9,29
33,0	9,37
33,1	9,44
33,2	9,51
33,3	9,59
33,4	9,66
33,6	9,74
33,7	9,81
33,8	9,89
33,9	9,96
34,0	10,04
34,2	10,09
34,3	10,16
34,4	10,24
34,6	10,32
34,7	10,39
34,8	10,46
34,9	10,54
35,0	10,60
35,1	10,68
35,3	10,76
35,4	10,84
35,6	10,91
35,7	10,98
35,8	11,04
35,9	11,11
