2	34,2
2,5	35,2
3	36,2
3,5	37
4	38
4,5	38,8
5	39,6
5,5	40,4
6	41
6,5	41,6
7	42,2
7,5	42,8
8	43,4
8,5	44
9	44,4
9,5	45
10	45,4
10,5	45,8
11	46,2
11,5	46,6
12	47
12,5	47,4
13	47,6
13,5	48
14	48,2
14,5	48,6
15	48,8
15,5	49,2
16	49,4
16,5	49,6
17	49,8
17,5	50,2
18	50,2
18,5	50,4
19	50,6
19,5	50,8
20	51
20,5	51,2
21	51,2
21,5	51,4
22	51,6
22,5	51,6
23	51,8
23,5	52
24	52,2
24,5	52,2
25	52,4
25,5	52,4
26	52,6
26,5	52,6
27	52,6
27,5	52,8
28	52,8
28,5	52,8
29	53
29,5	53
30	53
30,5	53,2
31	53,2
31,5	53,2
32	53,4
32,5	53,4
33	53,4
33,5	53,6
34	53,6
34,5	53,6
35	53,6
35,5	53,6
36	53,6
36,5	53,8
37	53,8
37,5	53,8
38	53,8
38,5	53,8
39	53,8
39,5	54
40	54
40,5	54
41	54
41,5	54
42	54
42,5	54
43	54
43,5	54
44	54
44,5	54
45	54,2
45,5	54,2
46	54,2
46,5	54,2
47	54,2
47,5	54,2
48	54,2
48,5	54,2
49	54,2
49,5	54,4
50	54,4
50,5	54,4
51	54,4
51,5	54,4
52	54,4
